new_id,player_name,season_start,age,team,g,mp,per,fg%,ft%,ts%,ppg,orb/g,drb/g,spg,bpg,tov/g,g_zscore,mp_zscore,per_zscore,fg%_zscore,ft%_zscore,ts%_zscore,ppg_zscore,orb/g_zscore,drb/g_zscore,spg_zscore,bpg_zscore,tov/g_zscore,zscore_avg
1010,Aaron McKie,2001.0,28.0,PHI,76.0,2394.0,15.1,0.473,0.768,0.5489999999999999,11.55,0.43,3.66,1.39,0.11,2.67,0.7390747532755431,0.6432088184500511,-0.2535736328708621,0.4142265425455818,0.06875179581645607,0.35170929023434583,-0.3260117808194522,-0.8954706164997512,-0.06276704984956863,0.919785305715548,-0.7558504537723001,0.9046456461343144,0.03654450466343118
1011,Aaron McKie,2002.0,29.0,PHI,48.0,1471.0,15.8,0.449,0.787,0.54,12.23,0.54,3.46,1.17,0.29,1.94,-0.5238446339874205,-0.3743684312818689,-0.11235699570851336,0.01144900830040126,0.24149296890450675,0.19063243328961935,-0.21809975221648226,-0.7797585092556615,-0.1615628120582831,0.44924378926894776,-0.4452455335894541,0.058407543245450534,-0.07657978598194688
1012,Aaron McKie,2003.0,30.0,PHI,80.0,2374.0,13.7,0.429,0.836,0.49700000000000005,9.01,0.76,3.61,1.64,0.11,1.36,0.9194918085988236,0.6211594739271492,-0.5360069071955594,-0.32419893690391666,0.6869833626578996,-0.5789569943351848,-0.7290949464834873,-0.5483342947674821,-0.08746599040174735,1.4544915744048668,-0.7558504537723001,-0.6139460179539206,-0.2032379604750832
1013,Aaron McKie,2004.0,31.0,PHI,75.0,2112.0,13.9,0.45899999999999996,0.757,0.55,9.19,0.6,2.77,1.13,0.31,1.37,0.693970489444723,0.3323130606771351,-0.4956592965777453,0.17927298090256022,-0.031256251760836413,0.36960671878375984,-0.7005299977356424,-0.7166428143952489,-0.5024081916783476,0.3636907862786568,-0.4107338757913601,-0.602353715174621,-0.2547013657148825
1014,Aaron McKie,2005.0,32.0,PHI,68.0,1118.0,8.4,0.43,0.625,0.51,2.24,0.29,2.24,0.71,0.25,0.46,0.3782406426289821,-0.7635393621110864,-1.6052185885676271,-0.30741653964370075,-1.2313528226883452,-0.3462904231928021,-1.80345440772188,-1.0427405711740472,-0.7642169615314406,-0.5346157451193984,-0.5142688491856421,-1.657253268090876,-0.980682817691576
1015,Aaron McKie,2006.0,33.0,LAL,14.0,121.0,6.1,0.25,0.5,0.272,0.5,0.21,1.21,0.36,0.0,0.14,-2.057389604235305,-1.8626991865777436,-2.0692161106724867,-3.3282480464825595,-2.367807908793941,-4.605878417953342,-2.0795822456177153,-1.1268948309879303,-1.2730151369063196,-1.2832045212844445,-0.9456645716618169,-2.0282069570284604,-2.1107718747389015
1016,Aaron McKie,2007.0,34.0,LAL,10.0,131.0,7.5,0.647,,0.647,2.2,0.1,1.7,0.4,0.0,0.8,-2.237806659558585,-1.8516745143162925,-1.7867828363477896,3.3343636658231457,,2.105657288076921,-1.8098021741102892,-1.2426069382320202,-1.0309655194949696,-1.1976515182941534,-0.9456645716618169,-1.263114973594693,
1017,Al Harrington,1999.0,18.0,IND,21.0,160.0,6.4,0.321,0.6,0.359,2.14,0.95,0.9,0.19,0.1,0.52,-1.7416597574195638,-1.819702964758085,-2.008694694745766,-2.136697841007232,-1.4586438399094646,-3.0488021341543217,-1.8193238236929048,-0.34846792770950896,-1.426148568329827,-1.6468047839931812,-0.7731062826713471,-1.5876994514150793,-1.6254389347628635
1018,Al Harrington,2000.0,19.0,IND,50.0,854.0,10.8,0.45799999999999996,0.703,0.524,6.56,0.94,2.24,0.5,0.18,1.3,-0.4336361063257803,-1.0545907098133909,-1.1210472611538604,0.16249058364234434,-0.5222048489584541,-0.09572642350100542,-1.1178956377735998,-0.3589872101862444,-0.7642169615314406,-0.983769010818426,-0.6350596514789711,-0.6834998346297176,-0.6119916256389375
1019,Al Harrington,2001.0,20.0,IND,78.0,1892.0,10.2,0.444,0.6559999999999999,0.479,7.51,1.53,3.36,0.81,0.23,1.9,0.8292832809371833,0.08977027092521482,-1.2420900930073022,-0.07246297800067822,-0.9495119613341574,-0.9011107082246376,-0.9671361860488624,0.2616504559411459,-0.21096069316264032,-0.32073323764367073,-0.548780506983736,0.01203833212825248,-0.49390975763362865
